Review,polarity,True Label,Predicted Label
"I haven't actually stayed at this hotel- yet- but am already disappointed in their customer service. I visit Chicago quite often and usually stay at the InterContinental, but yesterday I read some online articles advertising The James Hotel's ""Cyber Monday Special"". The promo states that if you buy a gift certificate from their website, the hotel will match that amount in ""James Credits"" that can be used toward your stay. None of the articles gave an expiration date for these credits. My next trip to Chicago is in April, so I thought I'd give The James a try. I travel frequently with my pet and I've heard they have a very liberal pet-policy. So today I went online and bought a $500 certificate. Me, having the one track mind that I do, somehow missed the part about the credits expiring March 31, 2010. I realized my mistake immediately and called the hotel front desk to explain my predicament. I said I couldn't be in Chicago until April (I'm overseas on business until then), and asked if they could extend my credits an extra month, or it not, refund my gift certificate purchase. I had only just made the purchase minutes before and hadn't even recieved my email confirmation yet. Most businesses offer a 24 hr grace period. The girl at the front dest was extremely rude to me- basically saying ""too bad, it's your problem now"". She didn't even bother to act polite or pretend to be sympathetic about my situation at all. So now that I know this is the kind of service I can expect from The James, I might just call it a wash and stay at my usual hotel, or try Hotel Monaco. I hear they have great service and are good with pets too.",negative,real,fake
I recently stayed here for the Chicago triathlon. This was my third stay at this hotel. I have not had any issues until this visit. After the 3rd day of my stay I requested my room to be serviced and returned to what I thought was a clean room. While getting out of bed I was cut by a piece of glass in the carpet. I must not have been the first person to be cut in the room because I found dried blood on the bathroom floor afterwards. I had not noticed it before so I was very disgusted. We notified the staff and asked that the room be vacuumed and the bathroom mopped. We returned to the room after 5pm to find that the dried blood was still on the floor. After making a complaint to the customer service I have gotten no reply from the hotel. Considering the price point of this downtown hotel I would think that they would try to live up the 5 star rating but instead they have failed miserably. Luckily there are many hotels to choose from in downtown Chicago.,negative,real,fake
"I stayed in the Sofitel Chicago Water Tower hotel with my husband and two kids last weekend, and will definitely use this hotel again for future travels. The spacious rooms with modern, innovative furniture and comfortable beds was a great contrast to the small, dismal rooms and rock-hard beds that I have found at other hotel chains. The bathrooms were neat, tidy, and well-stocked with towels and personal needs such as toilet paper, shampoo, and soap. The carpet was clean (not stained and dingy like some hotels), the room decor was astounding, and the view from our window was wonderful. I enjoyed every aspect of this hotel stay, from the courteous staff at check-in to the ease of requesting room service and checking out. Thanks for making me feel right at home!",positive,fake,real
"I travel a lot for business and quite frankly, my expectations were starting to reach new lows. I usually always choose W Hotels just for the consistency (of average hotels). The Affinia in Chicago has raised my expectations and W Hotels are going to suffer in comparison. This hotel is one of the cleanest I have stayed at in some time. Service was impeccable. Friendly front-desk staff and the extra towels I ordered arrived literally within minutes. The gym has new equipment with plenty of space. And such a fun vibe - without dark hallways and loud music. I have to thank the other reviewers - their reviews led me to the Affinia and I was so pleased. My new ""Chicago Hotel"". It will even lead me to try the Manhattan hotels. ",positive,real,fake
"I was going to Chicago last month and wanted a nice hotel that was close to restaurants and shops. I did some research and believed the InterContinental would suit my needs. I sure was not disappointed by my decision! This hotel lots of historic charm. Despite being a larger hotel, the service was top shelf! The rooms, while not large by any means, were extremely well-appointed and very comfortable. My kids loved the big swimming pool that the hotel offered. As for me, I was more impressed with the location to the Magnificent Mile. The hotel also has a nice restaurant on-site. The food was very good and, just like the hotel itself, the restaurant provided perfect customer service. Dollar for dollar, the InterContinental in Chicago is a great deal and I will be staying there again. ",positive,fake,real
"I was looking forward to staying here for my wedding in late September, and was surprised by the signs of hard times that were subtle, but affected me and my husband. For example, he got locked out of our room 2 times, once having to wait for 15 minutes in the hallway after going to the spa. The other time was when he was getting ready for our wedding ceremony, so that was stressful because he lost some time. The keycard just would stop working. Then a fuse blew, so we had no power while trying to get ready. It happened to me also, coming back from the spa, and I called on the hallway phone to get help. Luckily, right after that, an employee who was randomly walking by asked me if I had been waiting long--as if she knew this was a problem. I said no, and she called down to check. Apparently, no one had even called Security to get me back into my room! She had a set of keys and let me in, thank god. Then, on our wedding night, my husband wanted to order from room service. It was a little after 10:30pm. We were told that room service was closed for the night--even though all the literature in the room brags about ""24 hour dining."" That fact was never communicated to us when we checked in. I feel like the quality of service and amenities are slipping. We later heard something about a lot of employees getting laid off, so maybe that's why people weren't too intersted in providing good service. I don't think if I would recommend that anyone stay at this Fairmont nor will I ever again. BTW, the spa is great to hang out in, even if you're not doing a massage.",negative,real,fake
"I was really expecting a lot more from a quality chain like the Sheraton, but a recent stay at their downtown location in Chicago was somewhat of a disappointment. It started with check in; I had specifically requested a room with a single king-size bed, but was told at the front desk in no uncertain terms (OK, rather rudely!) that because of some banker's convention that was going on, I should be happy with the double-bed room that was left. It was all I could do to get a lousy drink voucher for my inconvenience! The room itself was OK, nothing special though. The cleaning staff must've just been through, because there was a faint aroma of old washrags still in the air. The internet jack wasn't working. It took more than two hours for a maintenance guy to come up to fix it, no apologies given. For the price, I really expected more in the way of customer service from Sheraton. I guess they're really no better than anyone else these days!",negative,fake,real
I will never stay here again. I was lured in by the hotel's pictures showing a fabulous suite. Instead I arrived to find cheap furniture that smelled of old cheese. I called the front desk to see if there was another room available. I was put on hold for five minutes and no one came back on the line. I ended up going to the front desk myself. I was ignored and not given assistance until I interrupted the front desk clerk who seemed to be on a personal call. The clerk apologize but then looked at me with an attitude when I requested another room because mine smelled like old cheese. I was informed that there were no other rooms available but that they would send up housekeeping. Housekeeping sprayed some Febreeze on the couch and then left. I tried to relax by turning on the TV in the bedroom. I sat on the bed and saw something scurry under the pillow. I checked the corner of the mattress and found bedbugs. I packed up my bags and left after that. I did get a refund on the room after some complaining. I went across town to the Marriott where I had a much better stay.,negative,fake,real
"I work for a software marketing firm, and that job requires me to travel at least 100 days per year. I spend a large amount of time in hotels. I normally don't write reviews for hotels, but the Homewood Suites by Hilton were above and beyond. Let's start where it matters: the rooms. They are top notch. There's nothing better than walking in to a clean, beautiful rooms after a long day of travel. The beds are among the best I've ever slept in in hotels. The rest of the room is just as nice and makes me feel at home. The price: Low. I looked for similar rooms in the area at other hotels, and everything else was at least 10% more expensive. But you don't get what you pay for here. You get much more than that! The location: Couldn't be better. You want to go to a world class restaurant? That's within walking distance. You want a great shopping experience? Again, walking distance. Anything else you want? Chances are, it's within walking distance. Overall, one of the best hotels I've ever stayed in.",positive,fake,real
"Me and my wife stayed at the Omni hotel in Chicago for a customer training at a nearby hospital. We ended up only staying for 2 nights and the service was awful here. At first once coming into the room, there was a mildewy smell in the air, which we were fortunate enough to bring a potpourri spray with us just incase. The continental breakfast each morning was terrible as well. The eggs were runny and the coffee was not hot at all. To make matters even worse, the room service attendant did not get to our rooms until the middle of the afternoon, when my wife was back from exploring the city. This was simply unacceptable by any standard.",negative,fake,real
"My Family and I went to this hotel on holiday last month. It was a very bad hotel. When we got there we imediatly checked in and went up to our room. The view from the window was a brick wall. Really? We even asked the Lasy at the front desk, but she said they couldn't put us in a room with a view cause we didn't book one and we couldn't upgrade. Also, My Wife is a light sleeper and the trains kept her up at night. Another thing is alot of ads boast a hot tub in all the rooms but this is not true, our room only had a normal tub. But, the tub had no stopper, so we could only take showers. The room was also very small compared to other hotels with around the same prices.",negative,fake,real
"My Stay at Sheraton Chicago Hotel and Towers was wonderful, i stayed in the traditional guest room and i slept good, i was able to get to my meeting well rested, thank you Sheraton! -Bobby",positive,fake,real
"My husband and I wanted to spend the weekend in Chicago to celebrate our anniversary, and I had been looking at the James for awhile because it was attached to David Burke's Primehouse. From the moment I called to make my reservation, I knew this hotel understood what customer service means to a consumer and a picky one at that. From the pre-arrival dossier, to the special sweets from the staff to kick off our anniversary weekend and a hand written note thanking us for staying at the James, this staff is well versed in the long lost art of customer service. The rooms were well appointed and the beds comfy and warm on a cool weekend. The walking distance to Michigan Av is a huge plus. From the front desk to the cleaning staff, the staff here is top notch! And David Burke's Primehouse is not to be missed! ",positive,real,fake
"My stay at the Sofitel was great. I loved the location it was in. From the moment I arrived the experince was great, the attendants were helpful and the front desk was too. I thought the room was elegant and very clean as well as comfortable. The room service was excllent and they were very friendly. Checkout was a breeze and I couldnt ask for anything more in a hotel stay. ",positive,fake,real
"My wife and I stayed at the Abassador East Hotel in August to attend the Air and Water Show in Chicago. I called ahead to ensure a SW view that would allow us to watch the airshow from our room if the weather did not permit us to watch from one of the nearby beaches. Upon arrival at the hotel, not only was our room on the west side of the hotel it wasn't even a single king as was requested. Apparently the hotel had overbooked king rooms for the event weekend and we were downgraded to a queen room. The room itself was small and underwhelming. The was not dirty, but the linens and furnishings all had a very old and worn feel. The hotel was packed the weekend we visited. The staff was obviously not prepared to cater to such a large crowd. The concierge and reception desks were continuously busy. The hotel restaurant was very slow and had long waits. The main lobby and other common areas throughout the hotel were also undergoing renovations making getting around and fighting crowds of other people even more difficult! Luckly the weather was nice and the airshow was enjoyable. We will not be staying at the Abassador on future trips. Hopefully, current renovations will provide a much needed lift to the hotels current worn down vibe...",negative,fake,real
"My wife and I were guests at the Hotel Allego in Chicago for a long weekend getaway (September 2 - 5, 2011). We had checked out the hotel's website long before booking and were quite excited about our trip. Once we arrived, the hotel staff informed us that the room we requested was unavailable and brought us to a different room that smelled quite moldy. When I asked to be moved to another room (my wife has asthma) we were politely told that we were unable to be switched at that time. The room was not particularly well-cleaned: we found previous guests hair in the bathroom sink and on the floor, and a film of dust across the television set. We are not the type to complain, so we went out to explore the city and assumed that would be the worst of it. At nighttime when we tried to sleep, we discovered the bed sagged terribly in the middle and the walls were so thin, every nearby conversation could be heard perfectly. We were tossing and turning half the night. In the morning we hoped a quick workout might help energize us for the day, but we discovered that the wellness and fitness center described on the website was really not at all what we anticipated: a few treadmills and a dilapidated weight rack. The concierge was almost never around in the lobby (her sign always said ""Be right back!"") and when we did ask her questions, she was actually somewhat cold and rude towards us. The second night was without incident, luckily, except for the terrible bed, but the third night we were woken up three times by hotel staff trying to enter the room to clean despite our ""Do Not Disturb"" sign. I would not recommend this hotel.",negative,fake,real
"O.M.G best hotel ever ! i've stayed at various hotels in the area and the service has been really suckish. evan at one hotel i stayed at they had a molded sandwhich under the bed , how gross and i could of really got sick ! but this hotel was the perfect location right by the beach and by all the clubs . ohh . and the pump room , the best food i've evr had at a hotel . i evan got to take a picture with Queen Anne ! i will never regret coming to this hotel! i loved this hotel so much me and my bridemaid's stayed here . and it's just walking distance from all the popular food places and clubs . ( all the places to be at least )",positive,fake,real
"Our vacation was highlighted by a four day stay at Homewood Suites by Hilton Chicago Downtown.I believed it would be the best part of the trip; I discovered it was an unfolding nightmare. While in our lovely room on the fifteenth floor, a voice emanating from the phone, informed us of the pending fire alarm and what procedures to follow. Anyone above the tenth floor was instructed to go into the bathroom, wet towels and place them along the bottom of the closed door.Do not use the elevators and wait for further instructions.We nervously waited for twenty minutes without any further communications from the voice in the phone.We then decided to exit via the stairs, realizing too late that once you entered the stairwells, doors behind you were locked.We continued to travel downward, against the backdrop music of sirens and loud muffled speakers.Obviously, we were rescued without any physical injuries; yet emotionally we were damaged.I now choose my hotels in the range of ten floors or less.",negative,fake,real
"Overpriced is the best word to describe the Conrad Chicago hotel. While it may be in downtown Chicago, the room had no view. Although I asked for non-smoking, the room reeked of smoke. The elevators were very slow, and one was not working during my stay. There was a stain on the pillow, and the leg of one of the chairs in the room was broken. There was a dead bug in the bath tub. I was only given 2 towels for my 4 night stay. My credit card was billed twice, and it took 2 weeks to reverse to extra charge. I do not recommend this hotel at all!",negative,fake,real
"Problems started when I booked the InterContinental Chicago online at the hotel's site, and got a server error. Somehow I managed to get my reservation, and wish I had looked elsewhere on this great Chicago street, filled with plenty of other options. The server errors continued at check in and didn't let up. I was on a holiday weekend, but far too many others must have been pushy conventioneers, and I had trouble getting served. The hotel is enormous and doesn't give a sense of comfort. The health facilities are also just too big, so noisy and crowded. And Internet access was $18 a day, kind of surprising when I can go around the corner to a Starbucks! Next time, I'll pick a more intimate place nearby--without so many ""server errors"".",negative,fake,real
"Since this was our first visit to the ""windy city,"" we wanted to stay somewhere that was central and unique. We read many great reviews regarding the Kimpton brand so we gave it a go. The ""go"" ended up being a ""no go."" We were sorely disappointed. When we arrived the ladies at the front desk were very nice. We have two kids with us, so we needed a crib for our 6 month baby. We were told ""no problem."" Unfortunately, it took them about 1 or 2 hours to get us the crib and we were in a lurch as to what to do next. Then, we noticed a bug (or bugs) near the fridge area. Yikes! We called downstairs to complain and to be switched to a different room (or floor!). Our request was met about 30 minutes later. By this time, we were so tired from the flight and the first impressions, we almost wanted to throw the towel in. Customer service was so lacking! We wanted to get settled and go grab a bit in the city, but had to wait around for our new room and the crib. This is not what we expected at all for this HIGH price! Will have to think hard before we book with a Kimpton hotel again.",negative,fake,real
"The International Chicago Magnificent Mile is shrouded in glamour, but underneath the facade fades away. The ""classical architectural landmark"" should be translated to ""old and boring. I found this hotel via Google and have regretted it ever since. Room size was small and unaccommodating, and that was one of the newer rooms! Everything was free except for the gym (why that wouldn't be free with the price I paid I don't know). This hotel is overpriced for the quality and size of the room that you get, and I would not recommend staying there.",negative,fake,real
"The lines at the check in desk were tremendously long so we decided to use the computerized self check in. The only option the self check in gave us was the size of the bed. When we got to our room, we immediately realized we were placed in a smoking room but we were unable or perhaps the staff was unwilling to move us to a non smoking room. I am allergic to the smoke and that made my stay uncomfortable. The walls seemed thin and we could clearly hear the conversations of the guests in the rooms next to us. When we went to breakfast, we were seated quickly but it was nearly ten minutes before our server arrived. For the price they were charging, the wait was unacceptable and we went elsewhere. It also took ten extra minutes than promised for the valet to get our car. For forty dollars a day for parking, we expected better.",negative,real,fake
"The rates at The Talbott Hotel were cheaper than I had expected, and that was my reason for booking a room. I had been prepared for service and a room similar to what I had experienced in the past, and I was quite pleased when I did stay. The room was neat and clean, and the halls were quiet at night. The traffic noise was muffled to the point where it was no problem sleeping either. I did ask one question at the service desk and they answered it nicely, which is good because normally hotel workers can be a bit snippy, especially at night. Overall I had no problems with The Talbott Hotel and I would stay at this here again if I were in the area a second time.",positive,fake,real
The sheraton was a wonderful hotel! When me and my mom flew in we were really tired so we decided to take a quick nap. We didnt want to get up! The beds are absolutely to die for. I wanted to take it home with me. The service was great and this was probably one of the biggest if not the biggest hotel ive ever stayed in. They had a really nice restaurant inside with excellent food. ,positive,real,fake
"This hotel is beautiful, it is very modern and has a very luxuary feel to it. The location is wonderful,it is close to magnificent mile and the Navy pier, which was a great place to show the children on our vacation. We had the option of private parking which made a feel secure with our car,and the valet was very nice and helpful. I also take my work with me everywhere I go,So the wi-fi at the hotel was a-plus. They have a wide selection of packages that can include anything from the couple that wants to get away or a family outing. This place is great for the price, due to the looks of the hotel you will be surprised at how affordable it is. This is very nice place and it gives you a feeling of being the queen or king for the duration of your stay. ",positive,fake,real
"This hotel is one superior hotel. The prices are reasonable and the benefits are just fantastic. My husband and I got a package that lets us get a hotel with a view and the view was amazing. Waking up to seeing Lake Michigan was a site not to miss. The rooms were always cleaned when we got back from our shopping at Bloomingdales or in other places in Chicago, and the customer service was top notch and very friendly.",positive,fake,real
"This hotel was incredible! Haven't had a better stay in a hotel in my life. I will definitely come here again next time I am in Chicago! The rooms were so elegant, with their modern color schemes. The staff members were friendly and willing to lend a hand. The beds were surprisingly comfortable, with interesting covers. The TVs were HD, which was a step up from most hotels i have stayed at before. There was a cool martini bar that I spent an hour at one night, which was enjoyable, especially because of the live jazz band",positive,fake,real
"This hotel was very poor with customer service. They were so worried about keeping everything up to date and perfect looking in the hotel they rarely worried about their customers, and their guests. I had to ask for my room to be serviced for cleaning, and it took a long time to get a response. Very disappointed.",negative,fake,real
"This was a great hotel, one of the nicest that we have stayed in a long time. My wife was absolutely thrilled with the staff and we couldn't believe the KimptonKids program at the site. We will be back next time we stop in town. We cannot think of a better place to stay. ",positive,fake,real
"Visiting during a busy 2day conference in Chicago. Most hotels booked solid. The full hotel allows you to meet a wide array of customers. Everyone is complaining about service, cleanliness, and overall experience. Location is good. Hotel is tired. Employees surly. Too many cool properties to choose from in this town, will never stay here again and will re-think Hilton in general",negative,real,fake
"We booked an American Girl Place package at Fairmont Chicago Millennium Park. Told that we'd have a room with a nice view, apparently their idea of a nice view is of another building! Ended up getting a smoking room when we booked non-smoking, cost us $100 more a night than we were told, and staff was incredibly rude at the restaurant. Would never recommend coming here for any reason whatsoever!",negative,fake,real
"We booked this hotel as a last minute vacation planned on doing a little shopping and nightlife downtown. We where woken up at 6:00 in the morning with our bathroom flooded, this water was brown and all the clothing and our belongings left in the bathroom were dirty and sopping wet. We where moved to another room, but it was smaller then the orginal room we had gotten and paid for. The next day the housekeeping service never even came to change our sheets, coffee or towels, which is just horrible service. The service along with the orginal room where perfect, but we do not plan on ever spending another weekend in that flooding hotel.",negative,real,fake
"We have just returned from a week at the James Chicago. The hotel is fabulous, very chic and chilled. The service is beyond compare. Check in and out were swift and painless. The Concierge service is also super efficient having located an excellent hair salon and a couple of fab restaurants for us during our stay. The hotel restaurant itself is rated 5 in the top 10 in Chicago - voted by Chicago residents. We stayed on the 14th floor with great views of the city. The room (a deluxe king) was equipped with a great selection of cocktail making lovelies, hairdryer, safe, tv, robes & slippers, a very interesting selection of minibar items (one of which was a real surprise!) including crisps/snacks a first aid kit and an umbrella! We also had a spotless and elegant bathroom with Kiehls products and a cosy little dining area. The ipod dock/CD/radio and complimentary chillout CD were a nice touch and husband liked the enormous plasma tv. The super comfy bed ensured a good snooze and complimentary WiFi allowed us to plan our next day's activities from our bedroom. We were so busy touring around the city we didn't get an opportunity to use the gym or the spa - both of which looked fab. The bar/lobby area is a haven of civilised tranquility with smooth music playing in the background to help you chillout that bit more. Staff are attentive without being fussy and a good selection of drinks and bar snacks are available. The barman mixes a mean mohito ! This hotel is full of nice little thoughtful touches to make people feel welcomed and cared for e.g. The Virtual Tuck In service - basically a couple of PCs with webcams to allow people to say goodnight to their children when they're away from home on business. Also the dog biscuits and water outside the front door for our furry friends. Next visit to Chicago I'll definitely be staying here and wouldn't even consider an alternative if The James can maintain these standards. ",positive,real,fake
"We stayed for two nights for a meeting. It is an upscale chain hotel and was very clean. The service was very good, as the hotel front desk employees were kind and knowledgeable. The rooms are decent sized and have soft mattresses. The restaurant has good seafood, but was a bit expensive. We would come back again. ",positive,fake,real
"When I walked into the Millennium Knickerbocker Hotel, my first thought was ,""wow this is very yellow"", and not the good kind of yellow like a sunny day, no the ugly yellow that you would want to wash off your pretty white blouse. my room was fairly descent although the yellow theme seemed to leak in. It was a Victorian feeling in the lobby that turned into a modern feeling in the rooms and bathrooms. i would have liked to see less yellow and maybe a bit more of that fancy feeling from the lobby in the rooms.",negative,fake,real
"When making my reservation, I made it for one of the most busiest weekends during the summer Memorial Day. The staff was able to get my family in at an affordable rate. The suites are very spacious, clean, cozy, and comfortable. Upon on arriving staff were friendly, willing to exceed expectations, and serve me with enthusiasm. The Hot Breakfast was delicious each morning. The beds are very comfortable and provided a good nights rest. I would recommend this hotel to my friends and anyone who need additional space when traveling and on a budget compared to other Chicago hotels. ",positive,real,fake
While traveling in Chicago I stayed at the Sofitel on Chestnut Street. Though the hotel was a beautiful and comfortable as the advertisements suggest; service was severely lacking. I arrived late at night and had one peaceful dreamy nights sleep before being woke up at dawn. I reserved a room on one of the lower floors unaware of the construction happening in the area. I complained that I had not been informed of the construction and requested another room. My complaint was totally disregarded. I was told there were no other rooms in the whole hotel available. When I explained that the noise was bothersome I was treated rudely. The woman at the front desk actually ask me if I thought she could make the workers stop. I understand that the staff has no control over the noise. They did however know about the construction. Information I did not have at the time I booked. Information that would have swayed my decision. Then to treat me so rudely for bringing it to their attention. I will not be staying there again.,negative,fake,real
Awesome customer service upon arrival. Our room was more than adequate and extremely clean! After an hour of being in our room the front office called to make sure everything was okay with the room. Which felt very personal and wonderful! Great place to stay and would definitely stay here again!,positive,real,fake
Beautiful and super clean rooms. Front desk agent was very friendly. Restaurant food was good and at a good price. Had a surprise waiting in our room for my birthday! Beautiful touch... Thanks again!!!,positive,fake,real
Beautiful boutique hotel. It was very clean and the staff were so accommodating. 10/10 would recommend.,positive,fake,real
"Been here twice now and both times our experience was great. Suites are spacious and modern. Kitchens are well equipped. Service is friendly from front desk to the porters. Perfectly located close to almost all amenities you can imagine across the road plus there's a hospital a block away in case of emergencies. The free hot breakfast is surprisingly good and has more than your standard boiled eggs and oatmeal. There was scrambled eggs, 2 types of sausages, waffle maker, cereals, bagels and English muffins just to list a few. We will definitely be back the next time we stay in Calgary.",positive,fake,real
Do not call to make a reservation. You may get roped into a timeshare scam—shame on Hilton for Promoting this. Google Hilton Grand Vacations. Hilton Calgary Promoted this to me upon my booking. Daniel at the front desk is unprofessional and rude.,negative,real,fake
FAR from everything except the airport. Too many sexual innuendos. Charged 16% more than booking.com reservation.,negative,fake,real
"Fantastic location, big rooms, very clean, incredible breakfast.  They even have a salt water pool! I can't wait to stay here again!  They even have a shuttle that will take you where you need to go, so it saves on dealing with taxis!",positive,fake,real
"For just a night, it was a wonderful Sheraton experience and was well worth the stay.  My wife was quite impressed with the booking process and that all her requests were  satisfactorily accommodated by the hotel staff.  During the check-in, they were always a step ahead and seem to forecast our needs as a family.  Everyone is genuinely friendly and helpful.  I personally liked the layout of the room we got, not to mention a good view of the urban landscape outside. The breakfast experience was superb at the Wolf and Flower Restaurant.  I definitely see my family staying in this hotel again in the future and would definitely recommend it to friends. Excellent overall!",positive,real,fake
"Friendly staff, awesome breakfast, clean and comfortable. Amazing stay start to finish.",positive,fake,real
"Great Staff and Management, excellent service and swimming pool. Clean rooms and Hotel. Tasty breakfast and fresh coffee!! For your travel to Calgary this is the place you will enjoy to stay, specially if you have kids with you.",positive,fake,real
"Great service and cleanliness. Breakfast is a la carte, Gold members get a ~7$ credit.",positive,fake,real
